ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
52,0,Sweden,0,15.9425,63.1724,51410.52,1985-09-12,1985-09-15,News,0,0,Heavy rain,1.0
1159,0,Sweden,0,21.4825,65.547,4247.58,1997-07-27,1997-07-29,News,0,20,Heavy rain,1.0
